,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
22186,1988,312,Married,20,NO,VERY HAPPY,Leo,Ballot b
22190,1988,316,Married,21,NO,PRETTY HAPPY,Sagittarius,Ballot c
22191,1988,317,Married,19,NO,VERY HAPPY,Cancer,Ballot c
22193,1988,319,Married,19,NO,VERY HAPPY,Sagittarius,Ballot b
22194,1988,320,Married,21,NO,PRETTY HAPPY,Libra,Ballot c
22196,1988,322,Married,19,NO,VERY HAPPY,Taurus,Ballot b
22197,1988,323,Married,28,NO,VERY HAPPY,Cancer,Ballot a
22200,1988,326,Married,21,NO,VERY HAPPY,Capricorn,Ballot a
22202,1988,328,Married,21,NO,VERY HAPPY,Leo,Ballot c
22203,1988,329,Married,19,NO,VERY HAPPY,Aquarius,Ballot a
22205,1988,331,Married,20,NO,PRETTY HAPPY,Virgo,Ballot c
22212,1988,338,Married,25,NO,PRETTY HAPPY,Aries,Ballot b
22213,1988,339,Married,26,NO,VERY HAPPY,Taurus,Ballot b
22214,1988,340,Married,19,NO,PRETTY HAPPY,Libra,Ballot b
22215,1988,341,Married,18,YES,NOT TOO HAPPY,Capricorn,Ballot a
22216,1988,342,Married,25,NO,PRETTY HAPPY,Cancer,Ballot c
22217,1988,343,Married,21,YES,PRETTY HAPPY,Cancer,Ballot c
22218,1988,344,Married,21,NO,VERY HAPPY,Pisces,Ballot b
22220,1988,346,Married,24,NO,VERY HAPPY,Leo,Ballot c
22222,1988,348,Married,18,NO,PRETTY HAPPY,Virgo,Ballot c
22225,1988,351,Married,21,YES,PRETTY HAPPY,Libra,Ballot a
22226,1988,352,Married,31,NO,PRETTY HAPPY,Scorpio,Ballot a
22227,1988,353,Married,18,YES,VERY HAPPY,Cancer,Ballot a
22230,1988,356,Married,20,NO,VERY HAPPY,Leo,Ballot c
22231,1988,357,Married,19,NO,VERY HAPPY,Scorpio,Ballot b
22232,1988,358,Married,14,NO,VERY HAPPY,Aquarius,Ballot a
22233,1988,359,Married,19,NO,PRETTY HAPPY,Gemini,Ballot c
22235,1988,361,Married,23,YES,VERY HAPPY,Libra,Ballot b
22241,1988,367,Married,23,NO,VERY HAPPY,Cancer,Ballot a
22243,1988,369,Married,22,YES,VERY HAPPY,Gemini,Ballot b
22247,1988,373,Married,15,NO,PRETTY HAPPY,Virgo,Ballot c
22248,1988,374,Married,24,NO,VERY HAPPY,Capricorn,Ballot a
22249,1988,375,Married,19,NO,NOT TOO HAPPY,Scorpio,Ballot b
22251,1988,377,Married,27,NO,NOT TOO HAPPY,Leo,Ballot b
22253,1988,379,Married,19,NO,PRETTY HAPPY,Gemini,Ballot a
22254,1988,380,Married,17,NO,VERY HAPPY,Capricorn,Ballot b
22256,1988,382,Married,19,NO,PRETTY HAPPY,Cancer,Ballot c
22258,1988,384,Married,20,YES,VERY HAPPY,Scorpio,Ballot a
22260,1988,386,Married,23,NO,PRETTY HAPPY,Sagittarius,Ballot b
22261,1988,387,Married,20,NO,VERY HAPPY,Pisces,Ballot c
22262,1988,388,Married,22,NO,VERY HAPPY,Libra,Ballot a
22263,1988,389,Married,21,NO,PRETTY HAPPY,Virgo,Ballot c
22264,1988,390,Married,24,NO,VERY HAPPY,Capricorn,Ballot b
22267,1988,393,Married,24,NO,VERY HAPPY,Libra,Ballot a
22268,1988,394,Married,30,NO,VERY HAPPY,Gemini,Ballot c
22269,1988,395,Married,38,NO,PRETTY HAPPY,Leo,Ballot c
22271,1988,397,Married,21,NO,VERY HAPPY,Leo,Ballot a
22272,1988,398,Married,22,NO,VERY HAPPY,Taurus,Ballot a
22273,1988,399,Married,20,NO,VERY HAPPY,Virgo,Ballot a
22275,1988,401,Married,25,NO,PRETTY HAPPY,Libra,Ballot b
22277,1988,403,Married,32,NO,VERY HAPPY,Pisces,Ballot b
22282,1988,408,Married,21,NO,VERY HAPPY,Capricorn,Ballot a
22283,1988,409,Married,27,NO,VERY HAPPY,Virgo,Ballot b
22284,1988,410,Married,20,YES,VERY HAPPY,Libra,Ballot c
22285,1988,411,Married,20,YES,VERY HAPPY,Aquarius,Ballot c
22286,1988,412,Married,21,NO,PRETTY HAPPY,Cancer,Ballot c
22287,1988,413,Married,22,NO,VERY HAPPY,Gemini,Ballot c
22289,1988,415,Married,18,YES,PRETTY HAPPY,Virgo,Ballot c
22290,1988,416,Married,24,NO,PRETTY HAPPY,Aries,Ballot b
22291,1988,417,Married,22,NO,VERY HAPPY,Gemini,Ballot c
22292,1988,418,Married,26,NO,NOT TOO HAPPY,Sagittarius,Ballot a
22293,1988,419,Married,28,NO,PRETTY HAPPY,Aquarius,Ballot b
22295,1988,421,Married,21,YES,VERY HAPPY,Taurus,Ballot a
22298,1988,424,Married,18,NO,PRETTY HAPPY,Leo,Ballot b
22300,1988,426,Married,28,NO,VERY HAPPY,Gemini,Ballot b
22301,1988,427,Married,21,NO,VERY HAPPY,Leo,Ballot c
22305,1988,431,Married,27,NO,PRETTY HAPPY,Scorpio,Ballot a
22307,1988,433,Married,18,NO,PRETTY HAPPY,Aries,Ballot c
22309,1988,435,Married,21,YES,PRETTY HAPPY,Libra,Ballot c
22310,1988,436,Married,20,YES,PRETTY HAPPY,Gemini,Ballot b
22312,1988,438,Married,19,NO,PRETTY HAPPY,Aquarius,Ballot a
22316,1988,442,Married,30,NO,PRETTY HAPPY,Scorpio,Ballot a
22317,1988,443,Married,19,NO,VERY HAPPY,Scorpio,Ballot b
22320,1988,446,Married,20,NO,VERY HAPPY,Gemini,Ballot b
22321,1988,447,Married,20,NO,VERY HAPPY,Libra,Ballot b
22322,1988,448,Married,18,NO,VERY HAPPY,Sagittarius,Ballot c
22323,1988,449,Married,19,NO,VERY HAPPY,Gemini,Ballot c
22329,1988,455,Married,16,YES,NOT TOO HAPPY,Libra,Ballot c
22333,1988,459,Married,31,NO,PRETTY HAPPY,Leo,Ballot c
22335,1988,461,Married,18,YES,VERY HAPPY,Taurus,Ballot a
22336,1988,462,Married,37,NO,VERY HAPPY,Cancer,Ballot a
22341,1988,467,Married,25,NO,VERY HAPPY,Cancer,Ballot c
22343,1988,469,Married,27,NO,VERY HAPPY,Cancer,Ballot c
22344,1988,470,Married,20,NO,PRETTY HAPPY,Capricorn,Ballot b
22348,1988,474,Married,20,YES,VERY HAPPY,Pisces,Ballot c
22349,1988,475,Married,21,NO,VERY HAPPY,Aquarius,Ballot b
22350,1988,476,Married,23,NO,VERY HAPPY,Capricorn,Ballot c
22351,1988,477,Married,26,NO,VERY HAPPY,Pisces,Ballot a
22352,1988,478,Married,21,NO,PRETTY HAPPY,Pisces,Ballot a
22353,1988,479,Married,17,YES,PRETTY HAPPY,Aries,Ballot c
22355,1988,481,Married,18,YES,PRETTY HAPPY,Aquarius,Ballot a
22356,1988,482,Married,24,NO,VERY HAPPY,Sagittarius,Ballot b
22358,1988,484,Married,30,NO,PRETTY HAPPY,Scorpio,Ballot a
22360,1988,486,Married,22,NO,VERY HAPPY,Cancer,Ballot b
22361,1988,487,Married,17,YES,VERY HAPPY,Gemini,Ballot b
22366,1988,492,Married,17,NO,VERY HAPPY,Taurus,Ballot c
22367,1988,493,Married,24,NO,VERY HAPPY,Virgo,Ballot b
22369,1988,495,Married,16,NO,VERY HAPPY,Cancer,Ballot c
22370,1988,496,Married,19,NO,VERY HAPPY,Sagittarius,Ballot a
22371,1988,497,Married,27,NO,VERY HAPPY,Libra,Ballot c
22372,1988,498,Married,23,NO,VERY HAPPY,Taurus,Ballot a
22373,1988,499,Married,28,NO,VERY HAPPY,Capricorn,Ballot c
22377,1988,503,Married,36,NO,VERY HAPPY,Aries,Ballot b
22378,1988,504,Married,26,NO,NOT TOO HAPPY,Leo,Ballot c
22382,1988,508,Married,21,NO,NOT TOO HAPPY,Gemini,Ballot b
22383,1988,509,Married,25,NO,VERY HAPPY,Scorpio,Ballot b
22384,1988,510,Married,19,NO,PRETTY HAPPY,Aries,Ballot b
22386,1988,512,Married,23,NO,VERY HAPPY,Cancer,Ballot c
22387,1988,513,Married,22,NO,VERY HAPPY,Aquarius,Ballot a
22389,1988,515,Married,20,NO,VERY HAPPY,Aquarius,Ballot c
22397,1988,523,Married,25,NO,PRETTY HAPPY,Cancer,Ballot a
22398,1988,524,Married,23,NO,VERY HAPPY,Aquarius,Ballot b
22400,1988,526,Married,21,NO,VERY HAPPY,Gemini,Ballot a
22401,1988,527,Married,18,NO,PRETTY HAPPY,Scorpio,Ballot a
22404,1988,530,Married,27,NO,VERY HAPPY,Taurus,Ballot b
22405,1988,531,Married,19,NO,VERY HAPPY,Sagittarius,Ballot c
22412,1988,538,Married,17,YES,VERY HAPPY,Cancer,Ballot b
22413,1988,539,Married,19,NO,VERY HAPPY,Libra,Ballot c
22418,1988,544,Married,25,YES,VERY HAPPY,Gemini,Ballot c
22419,1988,545,Married,18,YES,VERY HAPPY,Pisces,Ballot a
22420,1988,546,Married,18,NO,VERY HAPPY,Taurus,Ballot c
22424,1988,550,Married,19,NO,PRETTY HAPPY,Taurus,Ballot b
22426,1988,552,Married,17,YES,PRETTY HAPPY,Leo,Ballot a
22427,1988,553,Married,16,YES,VERY HAPPY,Leo,Ballot c
22430,1988,556,Married,23,NO,PRETTY HAPPY,Pisces,Ballot b
22431,1988,557,Married,21,NO,PRETTY HAPPY,Gemini,Ballot c
